,index_0,index_1,behavior_0,behavior_1,objective,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15,solution_16,solution_17,solution_18,solution_19
0,254,255,0.9397705438775751,1.0250613850264323,103.26258688398595,-0.0647749826247375,0.7538846827863595,-0.9744946303624377,-0.3582072132691401,1.0813323660517036,0.4866490721746944,0.31183103901535053,0.5748356933003135,0.10525402971790195,-0.9765395129124329,0.339383007091947,-0.22319619872831167,-0.28354337430197213,-0.5217449892063738,0.25290832417880554,0.08703080997944951,-0.24636446805984127,1.1380625079710973,0.8206901906391336,-0.338164424537502
1,254,256,0.8804567693426378,1.273765715016041,103.32906493334879,1.074996000437988,-0.2973668448602542,-0.23256596943110236,-0.2304817269272444,-0.485993993559288,0.6433401221125578,0.13451187939494794,0.009275296325290082,-0.661531939509711,0.9262739453594541,-0.35321666039125116,-0.20801966166444477,0.5538054101395862,-0.02063198852491276,0.45215344460100465,0.4123430999007708,-0.30797477751817076,1.1197207687890824,-0.1333856791050054,-0.24102824121061797
2,252,257,0.5733758866262997,1.510117499040896,103.28321629266483,1.2431237933156867,-0.3491370216383356,0.16065147506466076,-0.6064953703961038,-0.661528693238641,0.22543521542553213,-0.01606192289293465,0.4048543124007315,-1.0851989110580764,1.2577330096437802,0.2628324964739495,-0.2398840776767972,0.6405384387470622,-0.6224063465185892,0.25540207914355184,-0.09398963245887437,-0.3400347768301984,1.7005252072281807,0.08588649224174738,-0.1387523813091363
3,255,255,1.0475130090398372,1.1428783180828006,103.28284624201387,0.623377449385448,-0.10567278157719809,-0.9356801241495252,0.4917622712801592,-0.461285541638868,0.414187312638265,-0.4354669875138195,0.3479209192340795,-0.13333353740962428,1.2417040287909205,-0.19470560777512624,-0.28046479712126354,0.6297940408225126,-0.4648758849765052,0.5191831469601117,0.5485185508431056,-0.12204068374780763,1.5310365474693604,-0.421387647582244,-0.6021793468093435
4,240,257,-1.8942482530800469,1.5317570019338376,103.14208587300517,0.7364104481548704,-0.0011107891979705298,-0.3451017881122383,-0.40077498720702925,-1.69774412312135,0.4716808893649863,-0.019240690607659323,-0.021848674078480235,-1.9068872720734535,1.2903687337982772,0.2169420388076431,-0.5602393901241741,0.06768245635028491,-0.8857154076097564,-0.49629466205244666,0.77807868943265,0.4661300300530074,2.738014180746728,-0.8514621877043267,0.05862125403422791
5,242,266,-1.5547604775141382,3.403136558949848,103.07674856495575,1.566698308428792,-1.3452241164130703,-0.2715720368537641,-0.2807938023534766,0.16192030640718347,-0.5014910316671579,-1.096808708976942,0.7369966112031233,-1.1928034622184627,0.6683174549296365,0.2827835640060804,0.2049059913185869,0.6206265114498184,-1.0597908713730753,0.26047469831485964,0.44257494909173134,-0.13118292796850725,1.731766595337121,0.6865252972230564,0.3644527515501767
6,247,266,-0.47980674215401375,3.3896340095836064,103.08047679891439,0.4794259853450503,-0.7336546561019048,0.0788152778072197,0.3927547021307903,-1.4374423386938286,0.5297115677616715,0.19483257663214712,-0.13446811920504545,-1.0997756598755504,1.2499939220454368,0.6806308111431536,-1.0594630893569477,0.23120638415980274,-0.7617236473723761,-0.31875655848197815,0.5787170936195248,0.713286392570959,2.7243220188682677,0.028804934489143452,0.5726096699440572
7,255,244,1.1527005504664316,-1.1295257494763715,102.98072698931921,0.40566128187656725,0.7534796865149371,-0.17874991240096708,0.08293165421566318,-1.651623027510931,0.7271866741128141,0.5938069104608058,0.4524433982539281,-1.4627873357263568,1.430351220669971,0.14681893818097003,-1.4796459260410835,-0.9926314107623819,-0.673425397027502,-0.25214087191499357,0.7077074146807516,0.9269562998855825,2.9014996940600914,-1.3798494182665917,-1.0348150722712142
8,246,270,-0.6469115824396847,4.194245411359061,102.81786529549252,0.2508583315736145,-1.1618806971240467,0.4285655085869286,0.5461152092161956,-1.1357805539960584,0.4706125831720365,0.4129545063666819,-0.4365260694321904,-1.7292180622653959,1.7073876614625494,0.32636877547718485,-1.3025923788706277,-0.35376089070998873,-0.6505141545485261,0.35604980039469036,0.37064973196826173,0.7869894668252075,2.6397554623438024,0.5532507236066095,1.4680488748724465
9,251,271,0.20548555862603402,4.4425321381683505,102.88870792941903,1.0157786711737984,-1.0606715751568345,0.5196471785030199,0.06694631532303441,-1.8110497428918788,1.1240299748233178,0.34569136890188207,-0.3513388770153387,-0.4208798144075644,0.7773320593725979,1.1066125599730596,-0.7962253923830536,-0.5498199282246561,-0.8484085733080979,-0.6637639710024694,1.0525112669515821,0.31856604222402957,3.392119343344708,0.4246648749849594,1.0062759156082888
